muestra,amplitud
148,0.30027
149,0.30423
150,0.31298
151,0.34065
152,0.36272
153,0.3753
154,0.36551
155,0.39074
156,0.39759
157,0.34614
158,0.36592
159,0.34498
160,0.33842
161,0.31177
162,0.27049
163,0.27396
164,0.25407
165,0.21858
166,0.17529
167,0.14889
168,0.15854
169,0.1173
170,0.08647
171,0.06623
172,0.05683
173,0.03252
174,0.00892
175,0.00699
176,0.00245
177,-0.01339
178,-0.01735
179,-0.0243
180,-0.04197
181,-0.04149
182,-0.00999
183,-0.04072
184,-0.0339
185,-0.06612
186,-0.02449
187,-0.02157
188,-0.07132
189,-0.03376
190,-0.06043
191,-0.06349
192,-0.05918
193,-0.07993
194,-0.09212
195,-0.07601
196,-0.05507
197,-0.06787
198,-0.04291
199,-0.09103
200,-0.05452
201,-0.04281
202,-0.04645
203,-0.05789
204,-0.07562
205,0.05243
206,0.11456
207,0.17204
208,0.26113
209,0.37572
210,0.4736
211,0.57013
212,0.67762
213,0.77205
214,0.87217
215,0.91667
216,0.92299
217,0.94054
218,0.93467
219,0.85001
220,0.75014
221,0.64344
222,0.51401
223,0.44212
224,0.32551
225,0.22502
226,0.13019
227,0.13547
228,0.13123
229,0.1595
230,0.19824
231,0.19536
232,0.2194
233,0.1958
234,0.2362
235,0.24213
236,0.24228
237,0.23949
238,0.23348
239,0.21875
240,0.22392
241,0.23304
242,0.17632
243,0.16143
244,0.11099
245,0.13029
246,0.12234
247,0.079
248,0.02769
249,0.01689
250,-0.01659
251,0.01885
252,0.00136
253,-0.00399
254,-0.06606
255,-0.06289
256,-0.07845
257,-0.08183
258,-0.08982
259,-0.11021
260,-0.09815
261,-0.12274
262,-0.09156
263,-0.12258
264,-0.11463
265,-0.12981
266,-0.12692
267,-0.13732
268,-0.13123
269,-0.13303
270,-0.1112
271,-0.14662
272,-0.15021
273,-0.14132
274,-0.12694
275,-0.12011
276,-0.11683
277,-0.13076
278,-0.14675
279,-0.12755
280,-0.14038
281,-0.11397
282,-0.14895
283,-0.13307
284,-0.10684
285,-0.12653
286,-0.11679
287,-0.09963
288,-0.14537
289,-0.12431
290,-0.1277
291,-0.04802
292,0.00703
293,0.08053
294,0.1353
295,0.22756
296,0.30535
297,0.40637
298,0.50151
299,0.59698
300,0.6574
301,0.70466
302,0.74631
303,0.7634
304,0.7592
305,0.71112
306,0.60946
307,0.53638
308,0.4391
309,0.34476
310,0.24273
311,0.16214
312,0.09583
313,0.07982
314,0.07757
315,0.08913
316,0.11268
317,0.10982
318,0.14624
319,0.15188
320,0.16987
321,0.16315
322,0.15554
323,0.15598
324,0.18092
325,0.18718
326,0.18729
327,0.15874
328,0.14521
329,0.10941
330,0.09642
331,0.12575
332,0.08536
333,0.03881
334,0.01813
335,0.03375
336,-0.0118
337,-0.01199
338,-0.02571
339,-0.03849
340,-0.07031
341,-0.08549
342,-0.09478
343,-0.09508
344,-0.09511
345,-0.13094
346,-0.1293
347,-0.10351
348,-0.09075
349,-0.12005
350,-0.09453
351,-0.11117
352,-0.08112
353,-0.11313
354,-0.12033
355,-0.10802
356,-0.10764
357,-0.10774
358,-0.09328
359,-0.11323
360,-0.09896
361,-0.10199
362,-0.09409
363,-0.08656
364,-0.09093
365,-0.06049
366,-0.09375
367,-0.08805
368,-0.08759
369,-0.0892
370,-0.01509
371,0.04165
372,0.11709
373,0.17353
374,0.24748
375,0.38813
376,0.49197
377,0.59283
378,0.66683
379,0.76449
380,0.8204
381,0.86603
382,0.89104
383,0.8857
384,0.81621
385,0.75046
386,0.66647
387,0.60694
388,0.48207
389,0.42248
390,0.2956
391,0.20713
392,0.1601
393,0.14646
394,0.1992
395,0.20395
396,0.23529
397,0.23461
398,0.25905
399,0.25309
400,0.28758
401,0.28066
402,0.28189
403,0.27793
404,0.28617
405,0.26388
406,0.2638
407,0.25632
408,0.23181
409,0.2296
410,0.19338
411,0.17705
412,0.1461
413,0.14253
414,0.11838
415,0.07593
416,0.04638
417,0.06656
418,0.03244
419,0.02656
420,0.01715
421,0.00781
422,0.01385
423,0.01778
424,0.03235
425,0.00995
426,-0.00697
427,0.00766
428,0.00516
429,-0.02287
430,-0.01347
431,-0.00715
432,-0.00313
433,-0.00261
434,0.0151
435,0.00093
436,0.00058
437,-0.01808
438,0.02118
439,0.0016
440,0.0024
441,0.00161
442,0.00472
443,0.00847
444,0.00014
445,0.00966
446,-0.01208
447,-0.00776
448,0.01779
449,-0.00216
450,0.00806
451,0.01273
452,0.01151
453,0.01205
454,0.02017
455,0.00479
456,-0.00246
457,0.137
458,0.19922
459,0.25878
460,0.34013
461,0.46601
462,0.56797
463,0.67979
464,0.7653
465,0.88747
466,0.9543
467,1.04918
468,1.05921
469,1.05921
470,1.02015
471,0.96815
472,0.87841
473,0.78936
474,0.67603
475,0.57558
476,0.43367
477,0.35608
478,0.27595
479,0.25771
480,0.26735
481,0.29004
482,0.34995
483,0.34037
484,0.34498
485,0.36399
486,0.36625
487,0.38347
488,0.38903
489,0.38573
490,0.39155
491,0.39497
492,0.40201
493,0.37638
494,0.34662
495,0.3037
496,0.30358
497,0.25917
498,0.27338
499,0.23836
500,0.21077
501,0.17552
502,0.16305
503,0.10731
504,0.11685
505,0.12959
506,0.08207
507,0.08728
508,0.09865
509,0.07385
510,0.02596
511,0.04202
512,0.05698
513,-0.00182
514,0.02662
515,0.04939
516,0.04955
517,0.03727
518,0.025
519,0.04738
520,0.03567
521,0.04954
522,0.03463
523,0.01805
524,0.03167
525,0.00489
526,0.02774
527,0.03659
528,0.02666
529,0.03404
530,0.02591
531,0.03248
532,0.04265
533,0.02364
534,0.12917
535,0.18096
536,0.25324
537,0.32125
538,0.41629
539,0.51953
540,0.60767
541,0.75014
542,0.85566
543,0.95956
544,1.03062
545,1.06035
546,1.08764
547,1.08697
548,1.02647
549,0.96306
550,0.84968
551,0.75546
552,0.66544
553,0.50578
554,0.40866
555,0.29758
556,0.23102
557,0.21862
558,0.26233
559,0.28994
560,0.30791
561,0.30094
562,0.33108
563,0.35567
564,0.35101
565,0.38402
566,0.36927
567,0.34424
568,0.35555
569,0.3457
570,0.34244
571,0.31637
572,0.31331
573,0.26296
574,0.23776
575,0.22538
576,0.1934
577,0.1565
578,0.17237
579,0.0878
580,0.10886
581,0.09074
582,0.06885
583,0.05185
584,0.03219
585,0.00844
586,-0.00827
587,0.03105
588,0.00156
589,-0.05006
590,-0.00602
591,-0.01377
592,-0.03882
593,-0.03966
594,-0.05417
595,-0.03895
596,-0.06076
597,-0.05241
598,-0.03181
599,-0.03452
600,-0.03694
601,-0.04082
602,-0.01618
603,-0.06044
604,-0.04038
605,-0.05993
606,-0.06261
607,-0.05965
608,-0.03332
609,-0.07024
610,-0.06202
611,-0.06086
612,-0.07519
613,-0.06351
614,-0.09264
615,-0.07127
616,-0.08515
617,-0.06414
618,-0.06049
619,-0.05127
620,-0.07229
621,0.04975
622,0.09983
623,0.16875
624,0.26135
625,0.33883
626,0.42851
627,0.52574
628,0.63272
629,0.71
630,0.78529
631,0.85192
632,0.83338
633,0.85702
634,0.79836
635,0.76351
636,0.65844
637,0.56553
638,0.5001
639,0.41148
640,0.28557
641,0.1961
642,0.10359
643,0.11933
644,0.11323
645,0.12729
646,0.16779
647,0.19494
648,0.19198
649,0.18189
650,0.20281
651,0.20752
652,0.21512
653,0.19096
654,0.23036
655,0.20273
656,0.19235
657,0.18794
658,0.18677
659,0.16428
660,0.12659
661,0.10957
662,0.0589
663,0.04488
664,0.01551
665,0.02359
666,0.00436
667,0.00094
668,-0.0382
669,-0.06525
670,-0.06136
671,-0.08655
672,-0.07596
673,-0.10541
674,-0.1137
675,-0.11927
676,-0.10355
677,-0.15612
678,-0.15092
679,-0.11724
680,-0.14367
681,-0.13642
682,-0.12369
683,-0.12397
684,-0.12716
685,-0.12559
686,-0.12682
687,-0.15267
688,-0.13448
689,-0.12571
690,-0.13474
691,-0.13487
692,-0.14061
693,-0.11909
694,-0.12999
695,-0.12109
696,-0.13366
697,-0.1582
698,-0.13453
699,-0.10563
700,-0.14217
701,-0.13632
702,-0.11093
703,-0.15002
704,-0.1248
705,-0.1396
706,-0.1626
707,0.04665
708,0.09407
709,0.21568
710,0.2992
711,0.41247
712,0.57375
713,0.7099
714,0.83784
715,0.98672
716,1.09192
717,1.16305
718,1.21917
719,1.20506
720,1.16081
721,1.06787
722,0.95976
723,0.85781
724,0.71157
725,0.59252
726,0.44245
727,0.27234
728,0.17259
729,0.14578
730,0.17888
731,0.2056
732,0.23796
733,0.24985
734,0.29004
735,0.28842
736,0.2933
737,0.3418
738,0.31325
739,0.3304
740,0.35088
741,0.30795
742,0.31435
743,0.30361
744,0.30674
745,0.25413
746,0.24197
747,0.18399
748,0.16848
749,0.12002
750,0.12254
751,0.06707
752,0.05811
753,0.03469
754,0.0009
755,-0.00032
756,-0.04614
757,-0.0462
758,-0.05223
759,-0.04889
760,-0.08918
761,-0.08027
762,-0.09589
763,-0.09448
764,-0.11729
765,-0.09307
766,-0.1352
767,-0.09732
768,-0.10716
769,-0.09159
770,-0.12108
771,-0.09722
772,-0.08077
773,-0.0767
774,-0.06548
775,-0.10414
776,-0.0768
777,-0.0923
778,-0.08316
779,-0.06207
780,-0.09392
781,-0.07679
782,-0.09857
783,-0.06062
784,-0.11115
785,-0.04965
786,-0.07423
787,-0.0696
788,-0.08657
789,-0.07268
790,-0.00104
791,0.09101
792,0.12822
793,0.17659
794,0.25538
795,0.38117
796,0.5047
797,0.58192
798,0.6668
799,0.79647
800,0.86164
801,0.92536
802,0.92527
803,0.8906
804,0.88803
805,0.81666
806,0.73543
807,0.64798
808,0.53257
809,0.45588
810,0.35239
811,0.21284
812,0.18012
813,0.19164
814,0.1869
815,0.18827
816,0.22281
817,0.2443
818,0.26658
819,0.26905
820,0.26182
821,0.28017
822,0.29565
823,0.28626
824,0.30884
825,0.29776
826,0.29906
827,0.24674
828,0.23659
829,0.25359
830,0.24324
831,0.18996
832,0.1876
833,0.18969
834,0.14555
835,0.10768
836,0.07546
837,0.08345
838,0.06984
839,0.02209
840,0.05468
841,0.01424
842,0.00161
843,0.02602
844,0.00868
845,0.00328
846,0.00119
847,0.00542
848,-0.00445
849,0.00111
850,-0.0419
851,-0.01474
852,-0.02217
853,-0.02888
854,-0.01284
855,-0.01891
856,0.01007
857,-0.01206
858,0.00773
859,-0.00734
860,0.04863
861,0.00885
862,0.01035
863,0.01335
864,0.01496
865,-0.00822
866,-0.01207
867,0.00135
868,0.01878
869,0.01934
870,0.0387
871,0.01965
872,-0.00586
873,0.01902
874,-0.00745
875,0.00829
876,-0.00405
877,0.00565
878,0.01368
879,0.00104
880,0.14334
881,0.2098
882,0.23529
883,0.33817
884,0.43506
885,0.54309
886,0.64829
887,0.76699
888,0.8917
889,1.01374
890,1.07834
891,1.11101
892,1.14814
893,1.1198
894,1.0494
895,0.97708
896,0.86723
897,0.73443
898,0.68508
899,0.55105
900,0.41479
901,0.32219
902,0.24986
903,0.27952
904,0.29428
905,0.31363
906,0.33748
907,0.36848
908,0.36879
909,0.369
910,0.34518
911,0.38742
912,0.37768
913,0.41314
914,0.39921
915,0.38552
916,0.33847
917,0.35905
918,0.31545
919,0.27529
920,0.28564
921,0.23683
922,0.23081
923,0.18756
924,0.16368
925,0.14373
926,0.14372
927,0.11831
928,0.10205
929,0.06165
930,0.07
931,0.07238
932,0.03944
933,0.0209
934,0.01398
935,0.016
936,0.02448
937,0.00926
938,0.01432
939,0.00196
940,0.01401
941,0.01328
942,0.01263
943,-0.01018
944,-0.00556
945,-0.02738
946,0.00451
947,-0.06179
948,-0.02845
949,0.014
950,-0.00621
951,-0.03721
952,-0.00954
953,-0.0001
954,-0.02056
955,-0.03899
956,-0.01725
957,0.00166
958,-0.04055
959,0.0889
960,0.15478
961,0.21572
962,0.31111
963,0.41651
964,0.50558
965,0.5915
966,0.72719
967,0.81771
968,0.92811
969,0.98515
970,1.03621
971,1.00513
972,0.98019
973,0.9316
974,0.83417
975,0.75174
976,0.6619
977,0.52442
978,0.41343
979,0.28577
980,0.22846
981,0.16127
982,0.18331
983,0.19826
984,0.21968
985,0.24016
986,0.26946
987,0.27741
988,0.29218
989,0.28477
990,0.2865
991,0.29465
992,0.27486
993,0.28779
994,0.31357
995,0.26459
996,0.22308
997,0.22276
998,0.17186
999,0.137
1000,0.09444
1001,0.10793
1002,0.0915
1003,0.10089
1004,0.12161
1005,0.14466
1006,0.14192
1007,0.12687
1008,0.02325
1009,-0.08314
1010,-0.15767
1011,-0.22669
1012,-0.28567
1013,-0.28108
1014,-0.21223
1015,-0.07994
1016,0.03169
1017,0.12109
1018,0.12687
1019,0.09049
1020,0.01499
1021,-0.07896
1022,-0.19619
1023,-0.20977
1024,-0.26268
1025,-0.22264
1026,-0.187
1027,-0.14144
1028,-0.07937
1029,-0.10618
1030,-0.0795
1031,-0.06555
1032,-0.08253
1033,-0.12863
1034,-0.12412
1035,-0.12139
1036,-0.14237
1037,-0.12184
1038,-0.11556
1039,-0.09029
1040,-0.1461
1041,-0.13572
1042,-0.0522
1043,0.00462
1044,0.07098
1045,0.10449
1046,0.18074
1047,0.26403
1048,0.37016
1049,0.46889
1050,0.53453
1051,0.61411
1052,0.69962
1053,0.722
1054,0.72145
1055,0.73614
1056,0.68278
1057,0.64924
1058,0.55101
1059,0.4719
1060,0.36402
1061,0.27868
1062,0.1514
1063,0.09742
1064,0.04476
1065,0.045
1066,0.05148
1067,0.08096
1068,0.10774
1069,0.08204
1070,0.11908
1071,0.12653
1072,0.14355
1073,0.16236
1074,0.13776
1075,0.14556
1076,0.14495
1077,0.13867
1078,0.12899
1079,0.11192
1080,0.07812
1081,0.06267
1082,0.04841
1083,0.05385
1084,-0.03183
1085,-0.03063
1086,-0.02771
1087,-0.05627
1088,-0.10203
1089,-0.08365
1090,-0.09011
1091,-0.12966
1092,-0.10605
1093,-0.13192
1094,-0.15734
1095,-0.15869
1096,-0.14725
1097,-0.13599
1098,-0.16393
1099,-0.14378
1100,-0.15999
1101,-0.16017
1102,-0.17907
1103,-0.18518
1104,-0.15479
1105,-0.16324
1106,-0.2004
1107,-0.15808
1108,-0.18363
1109,-0.17557
1110,-0.16282
1111,-0.15586
1112,-0.18322
1113,-0.16663
1114,-0.15585
1115,-0.18562
1116,-0.16639
1117,-0.18035
1118,-0.15709
1119,-0.15629
1120,-0.15763
1121,-0.15344
1122,-0.17447
1123,-0.14831
1124,-0.15987
1125,-0.16598
1126,-0.17319
1127,-0.15263
1128,-0.17753
1129,-0.16385
1130,-0.03906
1131,-0.02314
1132,0.02438
1133,0.08309
1134,0.21004
1135,0.28215
1136,0.34041
1137,0.46709
1138,0.57729
1139,0.65521
1140,0.67892
1141,0.75909
1142,0.74652
1143,0.70658
1144,0.65177
1145,0.60665
1146,0.51431
1147,0.42202
1148,0.37515
1149,0.23617
1150,0.14474
1151,0.0663
1152,0.07184
1153,0.03087
1154,0.06381
1155,0.08576
1156,0.10461
1157,0.12532
1158,0.15122
1159,0.16201
1160,0.16014
1161,0.14447
1162,0.15276
1163,0.17243
1164,0.16288
1165,0.1229
1166,0.15413
1167,0.1357
1168,0.11013
1169,0.11307
1170,0.08235
1171,0.08514
1172,0.04763
1173,0.04561
1174,-0.0279
1175,-0.01452
1176,-0.00298
1177,-0.041
1178,-0.02871
1179,-0.05743
1180,-0.05431
1181,-0.09757
1182,-0.08373
1183,-0.08173
1184,-0.11358
1185,-0.08634
1186,-0.0977
1187,-0.1253
1188,-0.12147
1189,-0.08573
1190,-0.11933
1191,-0.12555
1192,-0.10714
1193,-0.09357
1194,-0.09034
1195,-0.10032
1196,-0.10061
1197,-0.09958
1198,-0.1239
1199,-0.09503
1200,-0.07693
1201,-0.09447
1202,-0.0888
1203,-0.098
1204,-0.09645
1205,-0.08911
1206,-0.07984
1207,-0.10079
1208,-0.0855
1209,-0.07261
1210,-0.11438
1211,-0.06128
1212,-0.09177
1213,-0.0906
1214,0.02145
1215,0.12282
1216,0.13816
1217,0.25181
1218,0.34669
1219,0.44376
1220,0.57323
1221,0.70255
1222,0.79381
1223,0.88284
1224,0.91801
1225,0.96153
1226,0.96647
1227,0.95492
1228,0.91226
1229,0.79679
1230,0.72233
1231,0.61668
1232,0.51532
1233,0.43128
1234,0.30393
1235,0.22183
1236,0.18792
1237,0.17962
1238,0.20213
1239,0.21317
1240,0.25294
1241,0.28796
1242,0.29053
1243,0.26766
1244,0.29907
1245,0.2942
1246,0.3161
1247,0.30506
1248,0.29519
1249,0.29949
1250,0.29503
1251,0.27607
1252,0.24343
1253,0.23987
1254,0.20685
1255,0.19284
1256,0.15716
1257,0.15263
1258,0.11231
1259,0.10831
1260,0.08547
1261,0.07259
1262,0.04528
1263,0.02577
1264,0.00687
1265,0.01379
1266,0.03784
1267,-0.02541
1268,0.00532
1269,-0.02132
1270,-0.0313
1271,-0.00526
1272,-0.0199
1273,-0.00706
1274,-0.03686
1275,-0.02288
1276,-0.00147
1277,-0.024
1278,-0.03139
1279,-0.02671
1280,-0.03674
1281,-0.01002
1282,-0.00745
1283,-0.02011
1284,-0.04221
1285,-0.01388
1286,-0.01105
1287,-0.01078
1288,-0.04698
1289,-0.03547
1290,-0.02508
1291,-0.02652
1292,-0.02347
1293,-0.02737
1294,-0.01425
1295,0.12001
1296,0.17739
1297,0.26262
1298,0.36625
1299,0.47613
1300,0.58392
1301,0.73431
1302,0.86413
1303,0.97533
1304,1.03937
1305,1.15591
1306,1.15907
1307,1.1486
1308,1.11681
1309,1.03175
1310,0.97223
1311,0.83071
1312,0.71224
1313,0.59006
1314,0.45797
1315,0.33465
1316,0.25105
1317,0.22781
1318,0.22288
1319,0.27467
1320,0.32174
1321,0.32428
1322,0.33377
1323,0.34621
1324,0.35617
1325,0.36214
1326,0.35534
1327,0.3725
1328,0.33265
1329,0.35756
1330,0.35376
1331,0.34205
1332,0.28501
1333,0.26131
1334,0.26845
1335,0.2329
1336,0.23084
1337,0.19332
1338,0.15451
1339,0.11661
1340,0.09968
1341,0.08606
1342,0.05946
1343,0.06242
1344,0.03797
1345,-0.00496
1346,-0.00357
1347,-0.01773
1348,-0.03135
1349,-0.04979
1350,-0.0532
1351,-0.03263
1352,-0.0341
1353,-0.05046
1354,-0.05488
1355,-0.07854
1356,-0.05892
1357,-0.04226
1358,-0.05908
1359,-0.05572
1360,-0.02737
1361,-0.03578
1362,-0.03706
1363,-0.06095
1364,-0.08353
1365,-0.08064
1366,-0.04699
1367,-0.06718
1368,-0.07989
1369,-0.07063
1370,-0.06001
1371,-0.06306
1372,-0.0942
1373,-0.07825
1374,-0.09724
1375,-0.06459
1376,-0.07863
1377,-0.098
1378,-0.07839
1379,-0.05753
1380,-0.09791
1381,0.0132
1382,0.07012
1383,0.14985
1384,0.21053
1385,0.26691
1386,0.38984
1387,0.4984
1388,0.6058
1389,0.6818
1390,0.81571
1391,0.87369
1392,0.92418
1393,0.93143
1394,0.90257
1395,0.87691
1396,0.79906
1397,0.70814
1398,0.60942
1399,0.49551
1400,0.41474
1401,0.27142
1402,0.19863
1403,0.11536
1404,0.12086
1405,0.1281
1406,0.15574
1407,0.16575
1408,0.19393
1409,0.18681
1410,0.20292
1411,0.23104
1412,0.23556
1413,0.23124
1414,0.23689
1415,0.19867
1416,0.21327
1417,0.20937
1418,0.17156
1419,0.14121
1420,0.15336
1421,0.11426
1422,0.11519
1423,0.06925
1424,0.06571
1425,0.05511
1426,-0.02381
1427,-0.02564
1428,-0.04687
1429,-0.07888
1430,-0.07443
1431,-0.09719
1432,-0.11869
1433,-0.10137
1434,-0.1328
1435,-0.12346
1436,-0.13161
1437,-0.12617
1438,-0.12175
1439,-0.14622
1440,-0.15375
1441,-0.18389
1442,-0.1434
1443,-0.17031
1444,-0.11989
1445,-0.15264
1446,-0.14702
1447,-0.13747
1448,-0.16247
1449,-0.14735
1450,-0.1742
1451,-0.17534
1452,-0.18637
1453,-0.17689
1454,-0.15026
1455,-0.16655
1456,-0.17519
1457,-0.16468
1458,-0.18858
1459,-0.17518
1460,-0.18547
1461,-0.19421
1462,-0.147
1463,-0.15855
1464,-0.19269
1465,-0.07386
1466,-0.04016
1467,0.08342
1468,0.12751
1469,0.21874
1470,0.31084
1471,0.4305
1472,0.53513
1473,0.62256
1474,0.69062
1475,0.7967
1476,0.79264
1477,0.85105
1478,0.81423
1479,0.74781
1480,0.67859
1481,0.60434
1482,0.48244
1483,0.37646
1484,0.28434
1485,0.18768
1486,0.08378
1487,0.01284
1488,0.03052
1489,0.06072
1490,0.07462
1491,0.09809
1492,0.12804
1493,0.16559
1494,0.11981
1495,0.14495
1496,0.15812
1497,0.18356
1498,0.17434
1499,0.14803
