Temperatura,Humedad,VelocidadViento,Presion,HoraDia,DiaSemana,PM25
12.6,36.4,2.23,767.1,7,5,45.1
9.5,57.8,2.38,764.2,21,0,51.4
13.8,81.6,2.54,773.0,11,3,48.6
11.2,65.6,0.69,772.5,20,6,46.7
26.6,57.3,3.13,779.5,7,2,41.7
24.2,42.7,0.24,759.9,18,5,45.2
20.7,43.3,0.56,775.9,2,6,34.6
25.4,66.9,5.25,774.7,17,0,31.4
24.1,89.6,3.36,768.9,20,0,28.2
11.7,66.3,0.03,772.7,18,4,66.6
25.9,59.0,0.71,778.2,18,4,47.9
18.8,71.1,0.6,777.0,14,5,28.8
24.1,52.6,0.79,760.9,5,6,30.3
25.9,24.2,0.71,776.6,15,6,16.7
14.4,59.4,0.16,769.5,7,0,50.5
10.2,87.0,1.54,770.6,15,5,39.1
12.6,32.3,3.3,770.6,17,0,42.5
16.5,68.3,2.33,768.8,19,4,48.8
24.4,34.1,2.79,779.5,15,3,29.6
25.2,57.5,0.21,769.3,10,1,41.5
8.1,26.8,7.56,761.0,6,1,14.0
18.2,51.5,4.56,766.9,16,0,22.0
16.3,72.9,4.09,771.4,16,6,23.1
12.4,44.3,4.33,779.8,11,4,27.7
10.4,66.5,6.75,774.8,12,2,19.9
14.8,75.7,1.96,763.2,9,2,49.8
26.9,84.9,0.56,789.9,6,1,47.5
14.5,36.4,2.4,772.1,13,3,33.1
18.4,48.0,3.4,780.2,22,1,29.4
22.1,30.7,3.35,768.8,0,0,15.4
15.3,89.5,1.84,774.3,16,3,44.5
27.4,84.9,0.18,776.7,3,2,44.1
27.2,57.8,1.16,779.7,20,6,30.7
13.0,78.9,6.34,778.5,4,4,20.9
17.9,56.5,2.2,777.0,19,4,48.6
14.0,63.7,1.93,767.5,23,0,31.8
13.7,26.2,0.78,765.4,22,1,31.6
8.7,72.9,1.15,772.7,6,0,50.0
20.2,28.9,5.64,777.5,9,4,32.9
18.1,77.8,2.75,768.2,16,2,48.7
9.0,74.7,3.87,778.5,6,4,45.5
13.6,69.6,1.51,781.6,0,3,47.8
26.2,22.5,2.49,762.7,6,6,30.4
12.8,41.2,0.71,763.3,23,6,31.1
10.9,38.4,3.06,768.9,10,5,37.2
17.8,45.2,1.39,772.5,8,4,50.9
27.7,26.1,1.46,765.8,11,4,35.6
12.8,85.6,2.62,780.8,2,6,28.8
21.4,58.8,6.88,773.4,3,5,13.5
23.2,41.4,0.17,770.3,3,3,38.5
12.8,47.8,4.35,758.5,12,1,28.2
22.6,51.3,0.86,759.5,22,4,39.1
15.4,62.0,1.47,772.2,18,6,41.1
20.6,56.1,0.06,752.9,9,0,57.2
20.7,84.4,0.9,778.1,4,4,42.3
18.7,54.8,1.75,768.7,6,0,34.1
9.8,89.5,0.14,795.9,23,3,41.0
24.7,79.6,1.69,788.5,15,4,40.9
14.4,34.6,6.55,768.5,0,6,7.3
11.7,85.1,0.28,769.1,11,3,41.5
8.8,28.1,3.61,778.0,1,3,28.6
19.8,77.2,1.32,783.6,6,1,48.6
21.6,46.6,2.66,756.9,10,4,34.3
8.3,81.5,0.75,755.7,12,0,48.9
18.2,80.8,0.43,765.0,1,0,53.0
12.5,76.4,0.44,774.7,6,4,62.0
20.9,75.3,0.18,774.0,14,5,40.9
11.5,41.3,0.51,778.6,10,1,48.7
21.8,25.7,2.73,760.4,1,1,27.3
15.7,48.2,5.34,751.5,6,1,30.2
26.7,32.1,4.21,776.9,3,0,19.3
10.8,68.6,2.89,763.4,10,3,44.3
14.8,44.2,0.29,753.9,1,6,26.2
10.3,88.3,0.85,771.2,15,5,43.4
26.5,64.9,0.93,776.3,6,1,49.4
25.5,77.6,0.72,769.0,12,0,39.6
13.2,29.3,1.81,766.3,4,0,33.9
21.2,80.3,1.92,768.7,16,3,33.9
24.3,84.6,1.1,767.0,20,4,42.2
19.1,54.1,1.09,759.2,11,4,42.5
18.6,62.4,4.41,764.3,18,6,25.4
12.8,73.5,3.89,774.2,6,6,24.3
9.9,32.2,0.92,772.6,5,1,35.4
25.9,55.2,6.13,771.3,7,6,18.4
26.0,47.9,7.63,762.0,12,1,14.5
20.7,30.2,0.99,768.5,4,5,31.8
14.8,45.7,1.09,752.6,1,6,27.4
15.0,24.8,1.76,771.4,8,3,44.1
22.5,21.8,7.08,781.4,10,1,24.7
25.9,29.5,5.23,758.2,23,3,21.9
25.7,87.4,0.27,765.3,5,0,41.1
23.6,58.5,1.25,772.6,6,1,51.9
20.8,87.6,2.02,780.0,6,0,46.9
9.7,50.3,1.75,766.4,18,2,51.1
11.2,41.8,0.54,764.5,5,3,43.2
26.0,55.4,4.89,754.2,10,2,35.4
20.1,50.8,2.82,770.8,10,1,31.5
8.2,27.4,4.55,786.3,6,0,30.8
10.0,64.9,4.89,772.2,1,1,35.0
21.3,35.1,3.45,769.8,18,2,19.6
8.1,63.4,1.45,772.6,3,1,41.8
11.2,65.5,2.36,769.9,5,5,33.4
19.0,30.6,0.44,763.5,16,4,43.6
21.8,24.3,2.8,776.6,4,2,34.1
21.0,74.7,0.49,771.8,6,1,55.5
12.5,52.2,2.96,770.1,8,0,49.1
22.2,24.1,0.65,762.2,0,1,34.6
12.7,89.6,0.31,780.4,0,0,47.2
14.5,24.0,0.45,775.3,18,4,47.8
22.9,68.7,0.0,765.6,5,1,55.7
21.0,88.9,3.17,778.0,17,6,30.3
25.0,36.7,3.3,766.0,9,6,30.3
21.2,30.0,1.81,763.7,10,4,38.2
19.4,28.5,0.44,763.9,0,2,42.8
9.9,41.2,0.22,755.8,0,0,43.4
15.4,27.1,0.05,773.8,12,6,41.8
13.3,68.5,0.45,755.4,4,5,46.4
12.9,24.4,5.54,760.2,19,2,31.1
27.5,55.7,0.69,753.4,0,0,30.5
15.9,89.8,1.09,769.3,19,4,64.7
25.8,77.0,0.28,768.8,2,6,46.5
20.6,63.1,0.63,767.4,17,3,46.5
23.9,41.4,1.83,761.7,8,1,38.4
18.1,63.7,2.34,760.6,13,4,25.6
19.5,56.9,0.7,773.7,16,0,44.2
17.9,49.8,0.15,765.6,22,0,39.7
11.9,29.1,1.24,772.5,13,0,26.3
22.4,82.1,0.67,762.9,3,0,33.7
13.6,51.5,0.62,771.4,4,1,39.9
8.5,33.6,8.04,780.4,20,2,20.9
20.9,45.7,2.39,774.7,16,5,37.3
11.5,49.0,2.03,766.7,21,3,44.0
26.8,77.9,1.34,772.1,1,1,36.5
27.1,71.4,1.4,768.1,22,0,41.8
26.3,73.9,1.95,770.1,21,1,42.7
15.4,20.8,2.98,767.4,4,4,32.3
8.3,49.1,3.03,768.7,3,5,28.1
26.6,53.7,0.47,771.7,3,0,45.1
16.6,21.3,1.73,762.1,5,3,39.6
27.3,38.2,1.33,761.9,19,0,42.7
27.3,73.2,5.11,758.9,20,5,25.0
25.1,29.6,2.5,757.2,12,3,33.3
13.9,57.5,1.9,760.3,21,5,32.6
15.7,35.1,0.31,771.3,4,3,31.8
25.0,20.8,2.33,762.9,22,2,19.5
14.3,36.9,0.31,774.1,22,6,33.0
11.4,88.3,1.03,770.3,6,2,57.8
19.1,76.1,0.39,754.3,19,1,51.2
26.7,87.2,2.94,775.2,0,1,35.2
21.9,54.1,0.58,776.5,13,3,37.2
19.4,27.7,1.24,762.0,23,0,31.1
9.9,58.4,5.65,773.4,3,6,12.8
20.3,51.8,0.57,763.1,16,4,41.1
27.8,79.1,1.77,770.8,20,4,44.3
10.8,26.9,1.36,759.9,13,0,38.0
18.4,54.2,0.05,755.7,15,0,44.5
25.5,30.5,3.93,766.9,13,2,20.5
22.8,42.7,0.18,769.0,15,4,30.9
21.9,71.6,1.61,766.8,23,3,45.1
22.0,53.3,2.06,760.5,19,5,37.6
15.2,46.3,2.48,766.8,7,1,45.9
13.9,47.6,2.92,772.2,23,5,37.1
24.2,52.2,0.73,769.6,2,2,43.5
24.2,75.0,0.03,771.5,18,4,55.5
25.3,82.4,3.21,764.6,0,6,27.0
26.3,86.9,1.92,779.4,1,0,38.3
18.2,75.1,4.52,760.6,14,6,24.3
18.0,42.1,4.31,773.9,21,6,26.8
24.0,68.2,4.63,779.5,9,4,48.3
21.0,50.6,1.66,773.8,17,3,55.2
22.0,37.8,1.01,768.4,21,2,42.2
23.9,78.9,3.92,765.8,13,0,16.5
25.8,22.7,1.5,778.3,16,5,22.0
14.8,83.1,0.51,758.6,12,3,57.8
15.5,52.3,4.83,762.2,0,5,23.2
9.9,64.6,5.35,766.8,4,1,29.1
19.6,66.2,1.57,779.9,12,2,38.7
8.7,82.7,0.2,773.0,13,3,42.7
17.3,64.6,1.23,762.3,23,3,50.4
18.9,63.0,4.07,767.5,2,5,17.9
13.7,24.7,5.8,765.1,14,0,21.1
19.8,56.3,0.57,764.3,18,1,41.0
8.6,30.5,0.17,777.8,16,5,38.0
8.7,71.6,5.25,759.0,2,3,33.0
24.5,55.9,1.23,782.9,15,2,36.4
15.2,67.6,1.95,776.6,13,3,36.6
10.5,22.9,8.61,778.7,11,4,10.1
18.4,25.9,0.17,766.3,11,2,33.2
23.4,70.1,2.61,768.8,10,2,31.9
12.3,25.0,0.19,758.5,16,3,45.6
20.5,25.0,1.18,765.8,7,0,43.3
9.7,20.8,4.07,773.9,16,2,31.0
9.0,87.0,1.42,780.4,20,4,60.7
18.6,71.6,12.0,761.1,22,5,5.0
18.8,44.7,2.05,767.1,19,0,33.4
20.7,40.8,0.97,768.8,10,0,39.9
22.5,44.5,0.62,758.8,1,0,40.5
27.5,74.2,1.08,774.7,9,2,55.2
18.3,66.3,1.17,764.2,9,0,66.1
14.5,33.0,0.18,768.4,10,3,42.5
23.9,32.2,1.15,766.4,5,0,43.6
13.4,26.9,1.56,763.7,3,4,36.3
16.8,66.2,3.21,769.9,23,1,23.3
9.6,73.5,2.67,768.3,11,4,37.8
8.5,38.6,3.08,767.0,10,2,40.4
27.3,21.5,0.02,764.2,22,0,27.1
24.7,25.8,0.61,772.6,22,0,24.3
21.9,87.8,2.71,783.2,12,3,27.3
16.2,40.7,1.65,771.1,4,5,32.7
11.5,73.8,0.01,778.0,5,0,48.8
11.1,63.7,4.08,758.9,0,6,21.0
13.0,46.7,3.7,771.3,5,4,28.6
19.0,34.4,1.99,761.2,17,2,28.1
22.3,28.5,0.17,758.2,21,1,39.1
21.2,63.1,3.64,764.1,8,0,32.7
13.6,74.2,2.19,779.5,23,1,47.0
27.1,65.1,3.81,777.6,14,0,37.5
22.8,57.1,3.48,771.9,7,2,27.0
19.1,22.9,4.06,757.7,18,5,21.9
20.2,87.8,1.82,768.4,23,4,38.4
16.4,75.9,0.38,772.4,15,2,45.1
13.0,40.5,2.78,771.4,5,1,40.9
15.1,88.6,2.42,755.2,5,0,39.3
23.2,62.1,3.39,762.9,21,1,33.5
8.3,60.8,0.47,769.5,2,4,63.1
10.3,72.4,0.54,774.3,9,6,53.2
8.9,76.8,5.53,752.4,0,2,36.9
8.8,66.0,3.47,768.7,13,1,37.0
25.1,29.0,5.97,771.1,3,1,10.3
22.1,43.7,3.55,776.8,11,4,25.5
17.5,85.0,2.27,775.5,5,6,37.4
10.0,35.7,2.65,774.7,10,0,33.3
17.8,46.1,5.5,763.6,11,6,12.8
17.5,50.2,2.16,754.7,9,1,43.4
11.5,50.8,2.5,766.9,17,4,41.3
16.7,62.9,0.43,778.0,6,0,62.2
16.0,86.0,1.61,781.1,6,6,42.4
20.3,36.8,3.15,775.7,10,6,33.0
20.7,28.5,0.79,773.4,3,6,20.9
8.9,33.8,0.56,773.0,19,5,52.1
15.5,82.1,0.94,765.6,0,0,33.7
20.5,65.2,0.69,769.0,12,6,42.0
18.1,40.0,0.6,783.4,17,5,38.9
25.1,77.1,1.38,762.5,8,2,52.8
21.2,80.3,5.96,782.9,23,4,21.8
11.3,79.3,1.77,767.4,23,6,29.6
9.4,84.3,0.52,780.6,8,0,56.2
20.8,37.7,0.2,758.7,22,5,40.7
8.5,72.9,2.98,774.7,8,5,47.2
19.7,52.2,1.21,764.1,9,2,48.1
26.8,78.9,4.31,758.7,1,3,29.0
19.5,71.0,2.69,771.7,5,4,38.5
15.8,74.4,3.98,778.1,14,3,26.8
20.9,65.9,0.79,763.2,2,0,55.3
17.2,32.4,2.95,758.0,10,4,39.9
18.9,58.2,0.77,769.3,5,2,44.5
26.8,88.9,7.0,769.3,2,0,14.6
15.7,85.6,2.53,774.4,23,4,45.0
27.2,23.0,0.98,777.6,10,4,35.1
26.1,31.5,0.79,769.5,14,3,29.1
11.9,29.2,0.53,784.8,12,0,51.0
9.4,70.8,2.97,771.8,19,2,46.6
10.0,77.2,0.62,767.2,9,2,54.5
8.4,34.9,2.26,757.1,5,0,36.8
9.9,55.4,0.77,767.9,14,0,47.9
21.7,78.8,2.71,767.3,17,5,38.6
9.4,71.3,4.22,777.7,17,1,42.8
14.4,58.0,3.76,773.7,6,3,30.1
24.9,61.3,3.58,760.6,14,0,33.2
8.5,55.6,0.52,771.4,17,0,48.2
24.3,40.8,0.23,775.4,17,1,44.2
13.6,59.6,3.0,782.2,19,1,51.1
10.4,68.2,1.15,777.1,8,4,62.5
21.9,81.1,1.42,776.1,23,6,38.4
20.6,64.5,0.08,770.5,1,2,31.7
25.5,73.3,0.75,773.1,7,3,53.3
22.7,31.2,0.09,780.0,19,4,43.7
24.1,52.3,5.28,759.3,1,0,23.6
13.6,20.7,0.7,767.2,10,1,50.1
11.5,37.3,2.04,763.8,6,5,35.0
23.0,70.9,0.1,773.0,5,2,43.2
24.1,89.4,2.75,779.8,9,4,58.1
27.8,26.9,0.98,765.2,4,5,24.4
16.3,48.1,5.7,750.9,10,2,19.5
15.4,76.0,5.48,766.7,0,6,15.1
23.5,34.3,0.98,777.3,1,6,26.6
14.8,58.9,5.78,774.3,23,5,12.4
26.6,71.3,12.0,773.4,0,1,5.0
25.2,63.1,4.36,767.8,18,4,20.0
16.6,33.2,4.66,759.8,1,4,16.0
23.0,44.9,0.72,774.1,20,6,40.7
23.1,74.9,2.15,763.3,19,2,47.0
10.1,58.8,0.17,787.5,22,5,53.8
26.1,20.4,0.25,774.6,20,1,52.6
18.1,73.3,12.0,765.4,23,0,5.0
24.5,22.5,0.99,765.1,3,4,21.0
14.4,72.2,3.45,769.3,11,0,36.6
25.9,34.2,4.11,768.1,21,1,22.3
15.8,87.1,4.88,778.9,19,6,27.5
8.2,45.8,12.0,771.5,17,4,5.0
26.1,42.9,0.69,764.1,0,4,37.3
9.8,30.4,0.1,785.1,0,5,32.3
14.4,41.4,1.32,770.4,23,0,34.0
27.0,81.4,0.35,776.2,13,6,34.1
27.0,89.7,0.06,765.1,3,5,38.1
19.5,45.8,1.12,772.9,4,3,41.4
20.6,51.4,3.83,772.5,10,0,28.0
17.0,70.5,2.09,754.9,23,0,33.6
13.9,82.0,0.94,786.1,22,3,45.4
14.6,61.5,2.66,780.3,12,1,36.2
21.5,47.4,0.66,766.8,15,1,40.6
23.0,48.9,0.04,761.2,23,4,53.2
23.8,68.7,3.61,772.8,12,2,33.7
23.8,20.2,2.44,770.7,23,5,25.8
9.8,63.4,3.59,772.8,21,2,36.3
17.9,44.9,0.1,771.5,1,4,35.6
9.2,75.6,4.54,774.0,15,2,28.6
19.0,26.5,2.42,781.6,5,0,28.7
16.8,61.2,2.07,774.5,13,0,39.1
25.8,53.7,2.45,761.6,0,3,20.6
15.0,65.0,5.0,780.9,16,3,32.0
10.3,24.5,2.21,783.1,10,4,39.8
10.9,60.6,2.17,795.2,18,4,51.7
23.2,59.3,11.69,761.0,2,6,5.0
20.4,59.2,3.53,771.9,10,4,31.4
10.0,62.2,1.46,753.3,4,0,38.7
9.7,67.4,3.07,774.4,16,2,35.2
22.0,76.3,1.23,765.6,21,5,45.1
9.5,38.9,0.65,785.4,6,6,49.0
24.4,77.8,2.27,763.8,9,6,54.5
22.1,54.9,6.58,756.5,10,6,14.7
9.6,25.4,6.62,766.2,2,4,5.0
9.7,24.1,1.05,754.2,19,4,43.7
27.7,43.4,1.88,776.0,9,0,45.5
15.5,74.9,0.59,753.5,9,5,55.8
15.4,69.5,12.0,770.2,13,0,5.0
24.3,75.2,9.92,753.4,11,5,5.0
26.9,56.2,2.62,767.4,14,0,40.6
27.7,50.8,4.08,783.1,9,2,30.5
23.1,30.3,3.14,772.9,9,4,36.7
15.5,43.0,2.25,763.1,18,1,34.8
9.7,50.4,0.14,769.8,0,1,44.6
23.5,26.2,1.52,770.1,23,4,41.4
19.2,35.4,2.81,773.8,9,6,35.8
16.5,61.9,2.83,759.1,1,4,32.1
26.1,71.5,1.17,774.7,16,4,30.9
10.2,89.9,7.11,748.4,23,4,20.3
17.9,85.3,0.46,765.0,6,6,55.4
8.2,65.0,1.73,766.1,6,5,41.7
17.4,49.5,2.94,775.1,19,2,39.2
9.1,64.5,2.99,770.2,8,1,57.0
10.4,75.0,2.61,758.8,21,3,40.8
10.4,28.3,0.8,762.1,1,1,45.7
21.0,48.7,0.42,771.6,13,1,32.3
22.9,78.8,2.53,769.4,16,6,36.5
19.7,46.9,2.29,765.4,0,0,42.0
27.2,60.0,0.49,766.2,8,4,60.1
15.5,61.1,3.05,775.6,19,4,31.8
13.7,32.9,1.52,765.9,20,4,39.6
25.4,45.4,2.75,769.3,18,0,35.6
12.5,43.4,4.54,787.4,3,6,27.2
27.3,21.8,0.47,758.6,7,2,37.8
8.2,21.7,0.05,755.2,12,2,35.2
27.4,78.2,3.78,776.3,3,6,14.7
8.9,39.1,2.35,764.6,8,3,44.0
25.8,56.3,3.01,767.5,8,2,36.4
18.6,40.9,4.55,763.8,21,6,32.2
27.9,85.8,4.06,767.9,17,2,29.8
9.5,38.2,8.11,782.8,11,4,19.0
19.1,50.1,1.92,776.4,9,5,42.6
27.4,81.1,1.68,776.9,10,6,40.7
18.5,78.9,1.28,758.7,6,1,45.1
20.6,33.0,0.42,760.8,8,2,56.7
21.9,76.2,2.13,747.3,5,2,39.9
17.1,52.1,0.81,763.5,18,0,48.6
20.6,53.8,6.36,777.7,15,3,14.4
19.7,29.3,2.19,774.1,14,5,23.0
26.0,25.6,2.25,768.2,6,0,38.6
8.9,71.0,1.1,769.8,15,4,46.1
13.6,54.8,0.13,764.5,4,1,45.5
27.0,50.6,0.08,771.6,15,3,35.8
25.8,71.1,1.38,776.1,0,0,49.8
17.1,73.6,0.22,757.1,18,6,45.4
20.4,31.1,2.33,772.4,4,2,30.6
13.5,62.7,5.32,777.5,6,2,31.4
11.8,29.5,5.36,766.7,18,3,39.9
17.3,72.6,2.69,775.6,21,2,39.0
15.1,66.0,0.59,792.5,4,6,38.3
19.7,87.0,4.97,769.2,16,0,30.6
9.6,24.8,5.43,773.1,21,0,20.7
27.5,24.0,0.55,764.1,7,2,46.6
27.7,39.8,3.34,771.5,0,2,39.0
22.0,38.3,0.84,773.7,1,4,38.2
18.7,37.3,4.06,771.6,14,1,26.0
14.2,83.4,12.0,761.8,19,3,5.9
24.3,37.5,0.08,771.7,17,0,53.9
21.7,39.0,5.69,781.7,10,3,36.9
11.3,73.2,2.44,773.6,9,4,56.2
26.2,51.5,9.07,777.7,23,0,9.0
24.5,74.4,1.56,768.1,23,4,37.2
27.0,24.6,4.7,776.0,3,4,20.1
22.5,54.1,0.16,772.2,4,5,32.3
20.3,22.4,1.02,762.4,3,2,26.7
16.4,24.4,0.17,772.5,12,6,25.7
26.7,83.5,9.26,762.1,12,5,6.0
25.3,29.7,4.25,764.9,17,3,16.9
8.9,57.3,4.79,771.5,23,6,19.9
8.5,48.8,6.95,772.4,1,3,17.1
15.5,44.3,0.22,760.5,15,2,47.7
24.2,83.0,1.22,778.4,0,6,32.7
27.7,21.5,0.18,774.6,18,5,44.9
11.0,66.5,0.59,764.4,8,3,65.1
19.9,87.4,0.65,757.7,2,5,32.9
15.6,59.2,1.58,768.8,6,2,52.6
27.4,85.6,0.78,766.4,9,6,47.7
24.8,23.7,0.27,770.9,0,6,27.5
24.8,49.3,0.46,767.1,9,0,49.4
17.4,38.2,0.4,753.9,20,4,47.0
16.3,71.2,9.04,766.9,8,4,22.4
13.5,88.7,3.56,767.6,14,5,25.5
9.1,38.0,8.59,775.1,14,6,5.0
25.3,65.8,1.45,764.4,2,3,37.5
24.3,33.9,0.82,783.4,4,5,30.7
28.0,59.6,4.0,754.7,8,5,37.3
27.9,52.5,0.99,780.5,21,1,41.9
19.1,88.0,0.89,768.2,8,6,54.7
23.4,62.6,0.66,776.9,22,4,46.3
26.9,44.5,0.35,770.6,6,6,48.9
25.0,28.0,0.74,779.1,23,2,44.0
12.9,30.6,1.1,766.9,22,5,41.8
17.0,35.8,2.8,761.2,11,1,37.6
10.6,37.6,0.16,781.4,8,1,70.3
27.1,79.5,0.59,769.1,5,4,47.8
20.1,59.3,4.14,771.8,22,4,31.0
12.6,56.6,0.4,779.9,1,4,57.5
21.4,28.0,1.05,761.7,8,2,32.2
20.4,80.2,5.0,774.8,16,1,27.5
15.2,70.6,0.42,765.3,0,3,52.0
10.3,24.7,0.22,768.9,18,2,54.5
21.4,69.5,1.66,770.6,5,0,56.5
18.4,58.0,0.9,758.0,4,5,36.1
23.4,25.7,2.07,763.8,1,4,26.0
18.4,52.1,4.07,780.8,8,1,40.0
25.0,53.9,0.37,777.1,13,5,37.0
19.0,31.6,2.17,769.5,3,6,35.7
19.2,86.2,1.76,771.9,3,2,50.7
25.5,79.5,0.39,767.6,20,0,51.1
16.1,66.8,2.45,780.9,14,6,33.1
10.7,52.4,0.8,768.4,7,2,50.8
8.6,48.8,1.67,771.9,3,2,35.7
23.1,65.6,0.21,779.2,15,3,49.9
20.4,58.2,1.54,763.8,20,5,49.6
22.1,24.4,0.91,782.5,3,3,30.4
12.3,55.9,4.32,757.8,15,2,29.4
10.7,76.4,0.15,783.0,21,0,52.4
8.3,52.1,1.36,767.0,11,1,48.7
15.0,23.6,1.53,768.1,15,1,31.6
19.8,75.0,3.23,754.9,18,6,24.0
15.8,34.1,2.13,766.4,7,5,45.8
16.7,38.1,2.75,761.7,5,4,31.2
26.1,31.5,3.75,765.1,9,4,33.6
15.0,43.1,4.95,768.9,4,1,26.2
18.3,73.0,0.94,777.7,17,2,49.7
23.7,56.4,1.93,771.7,9,2,49.5
15.9,34.3,4.58,772.5,9,3,25.5
20.4,81.4,11.38,761.2,6,5,6.6
25.2,81.6,5.51,763.0,17,3,16.4
27.0,80.9,1.16,784.4,0,4,45.1
10.9,36.7,0.54,764.1,6,1,54.6
26.5,51.6,1.68,783.2,20,6,29.4
17.8,88.9,3.38,768.1,0,2,36.7
13.2,74.0,1.7,770.0,14,1,47.3
